Combination,myPort,Risk
"('SAPPE', 'UNH', 'TOP', 'Cpaxt', 'AVGO')",[0.103 0.    0.411 0.    0.486],3.6233474623985833
"('SAPPE', 'UNH', 'TOP', 'APPLE', 'AVGO')",[0.103 0.    0.411 0.    0.486],3.6233474623985833
"('SAPPE', 'UNH', 'TOP', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'TOP', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'TOP', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'TOP', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'TOP', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'TOP', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'BMWG', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'BMWG', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'BMWG', 'AVGO', 'KCE')",[0.    0.    0.552 0.448 0.   ],3.162191683861013
"('SAPPE', 'UNH', 'BMWG', 'AVGO', 'HCA')",[0.    0.    0.552 0.448 0.   ],3.162191683861013
"('SAPPE', 'UNH', 'BMWG', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'BMWG', 'AVGO', 'AMZN')",[0.    0.    0.552 0.448 0.   ],3.162191683861013
"('SAPPE', 'UNH', 'BMWG', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'AP', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'AP', 'AVGO', 'CVX')",[0.    0.    0.566 0.434 0.   ],3.098681637218548
"('SAPPE', 'UNH', 'AP', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'AP', 'AVGO', 'KCE')",[0.    0.    0.566 0.434 0.   ],3.098681637218548
"('SAPPE', 'UNH', 'AP', 'AVGO', 'HCA')",[0.    0.    0.566 0.434 0.   ],3.098681637218548
"('SAPPE', 'UNH', 'AP', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'AP', 'AVGO', 'AMZN')",[0.    0.    0.566 0.434 0.   ],3.098681637218548
"('SAPPE', 'UNH', 'AP', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'AP', 'AVGO', 'O')",[0.    0.    0.566 0.434 0.   ],3.098681637218548
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'KCE')",[0.    0.    0.526 0.474 0.   ],3.6383210926986136
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'HCA')",[0.    0.    0.526 0.474 0.   ],3.6383210926986136
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'AMZN')",[0.    0.    0.526 0.474 0.   ],3.6383210926986136
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
